id,name,group,updown
M299T10,2-Hydroxystearate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M407T7_5,Ascorbylstearate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M441T8_4,"24_,24_-Dihomo-9,10-secocholesta-5,7,10(19),24_-tetraen-1_,3,25-triol",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M131T1_4,2-Hydroxy-4-oxopentanoate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M145T1_13,N-Acetylcadaverine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M161T1_6,D-Glucose,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M163T6,4-Coumarate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M187T2_5,Glycyl-Isoleucine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M192T8,4-Methyl-2-phenyl-2-pentenal,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M231T4_6,Leucyl-Valine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M247T1_5,L-_-Aspartyl-L-leucine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M275T1_6,6-Phospho-D-gluconate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M387T7_4,"7_,12_-Dihydroxy-3-oxo-4-cholenoate",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M413T8_1,7-Hydroxy-3-oxocholanoate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M434T8,Glycolithocholate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M90T1_4,L-Alanine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M90T1_5,Sarcosine,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M258T5_1,Glucosamine 6-phosphate,Not Sex-Specific & Opposite Trend,CONV-R Enriched
M162T5_3,"2,8-Quinolinediol",Not Sex-Specific & Opposite Trend,CONV-R Enriched
M162T1_9,L-2-Aminoadipate,Not Sex-Specific & Opposite Trend,GF Enriched
M217T1_11,Threoninyl-Proline,Not Sex-Specific & Opposite Trend,GF Enriched
M217T5_4,N_-Methyltetrahydroharmol,Not Sex-Specific & Opposite Trend,GF Enriched
M256T2_4,Pyro-L-glutaminyl-L-glutamine,Not Sex-Specific & Opposite Trend,GF Enriched
M260T4_2,O(4')-Sulfo-L-tyrosine,Not Sex-Specific & Opposite Trend,GF Enriched
M274T1_5,Deoxyadenosine (dA),Not Sex-Specific & Opposite Trend,GF Enriched
M275T4_1,Dihydroferulate 4-sulfate,Not Sex-Specific & Opposite Trend,GF Enriched
M289T5_1,3-[3-Methoxy-4-(sulfooxy)phenyl]oxirane-2-carboxylate,Not Sex-Specific & Opposite Trend,GF Enriched
M380T1_3,4-Hydroxy-6-methylpretetramide,Not Sex-Specific & Opposite Trend,GF Enriched
M481T5_1,D-Gycero-L-galacto-octulose,Not Sex-Specific & Opposite Trend,GF Enriched
M514T6_3,Tauro _-muricholate,Not Sex-Specific & Opposite Trend,GF Enriched
M118T7,Indole,Not Sex-Specific & Opposite Trend,GF Enriched
M120T1_10,L-Homocysteine,Not Sex-Specific & Opposite Trend,GF Enriched
M231T1_7,5'-Amino-5'-deoxyadenosine,Not Sex-Specific & Opposite Trend,GF Enriched
M231T4_1,Vanillin 4-sulfate,Not Sex-Specific & Opposite Trend,GF Enriched
M233T4_5,"(4-Ethyl-2,6-dihydroxyphenyl)oxidanesulfonate",Not Sex-Specific & Opposite Trend,GF Enriched
M330T4_2,Carbocysteine-lysine,Not Sex-Specific & Opposite Trend,GF Enriched
M514T7_4,Sulfolithocholylglycine,Not Sex-Specific & Opposite Trend,GF Enriched
M309T4_3,_-Glutamyltyrosine,Not Sex-Specific & Opposite Trend,GF Enriched
M476T4_2,Ergothioneine,Not Sex-Specific & Opposite Trend,GF Enriched
M129T1_3,"2,5-Dioxopentanoate",Not Sex-Specific & Opposite Trend,GF Enriched
M153T2_3,Nudifloramide,Not Sex-Specific & Opposite Trend,GF Enriched
M181T4_1,DL-p-Hydroxyphenyllactate,Not Sex-Specific & Opposite Trend,GF Enriched
M200T1_9,N-Acetyl-L-2-aminoadipate,Not Sex-Specific & Opposite Trend,GF Enriched
M302T4_7,Nicotianamine,Not Sex-Specific & Opposite Trend,GF Enriched
M382T1_5,Lacto-N-biose I,Not Sex-Specific & Opposite Trend,GF Enriched
M74T1,Glycine,Not Sex-Specific & Opposite Trend,GF Enriched
M120T4_3,Indoline,Not Sex-Specific & Opposite Trend,GF Enriched
